case_id,layout,split,candidate,ablation,status,tp,fp,fn,precision,recall,f1,admissible_secondary,wall_median_ms,wall_p95_ms,deterministic
EVAL-L1-S2101,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,2024.95805,2364.609445,True
EVAL-L1-S2101,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,2024.95805,2364.609445,True
EVAL-L1-S2101,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,2024.95805,2364.609445,True
EVAL-L1-S2101,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,2024.95805,2364.609445,True
EVAL-L1-S2101,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,2019.8569,2472.248905,True
EVAL-L1-S2101,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,2019.8569,2472.248905,True
EVAL-L1-S2101,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,2019.8569,2472.248905,True
EVAL-L1-S2101,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,2019.8569,2472.248905,True
EVAL-L1-S2101,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1966.98655,2133.059865,True
EVAL-L1-S2101,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1966.98655,2133.059865,True
EVAL-L1-S2101,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1966.98655,2133.059865,True
EVAL-L1-S2101,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1966.98655,2133.059865,True
EVAL-L1-S2101,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1898.61485,2014.926935,True
EVAL-L1-S2101,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1898.61485,2014.926935,True
EVAL-L1-S2101,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1898.61485,2014.926935,True
EVAL-L1-S2101,L1,evaluation,v2_corrected,D,passed,0,0,0,0.0,0.0,0.0,0,1898.61485,2014.926935,True
EVAL-L1-S2102,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,2015.5,2182.853495,True
EVAL-L1-S2102,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,2015.5,2182.853495,True
EVAL-L1-S2102,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,2015.5,2182.853495,True
EVAL-L1-S2102,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,2015.5,2182.853495,True
EVAL-L1-S2102,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,2185.546,2320.88437,True
EVAL-L1-S2102,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,2185.546,2320.88437,True
EVAL-L1-S2102,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,2185.546,2320.88437,True
EVAL-L1-S2102,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,2185.546,2320.88437,True
EVAL-L1-S2102,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1874.09755,2156.82351,True
EVAL-L1-S2102,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1874.09755,2156.82351,True
EVAL-L1-S2102,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1874.09755,2156.82351,True
EVAL-L1-S2102,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1874.09755,2156.82351,True
EVAL-L1-S2102,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1958.8575,2231.95667,True
EVAL-L1-S2102,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1958.8575,2231.95667,True
EVAL-L1-S2102,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1958.8575,2231.95667,True
EVAL-L1-S2102,L1,evaluation,v2_corrected,D,passed,0,0,0,0.0,0.0,0.0,0,1958.8575,2231.95667,True
EVAL-L1-S2103,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,1937.3603,2672.947145,True
EVAL-L1-S2103,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,1937.3603,2672.947145,True
EVAL-L1-S2103,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,1937.3603,2672.947145,True
EVAL-L1-S2103,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,1937.3603,2672.947145,True
EVAL-L1-S2103,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,1884.24535,2363.77803,True
EVAL-L1-S2103,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,1884.24535,2363.77803,True
EVAL-L1-S2103,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,1884.24535,2363.77803,True
EVAL-L1-S2103,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,1884.24535,2363.77803,True
EVAL-L1-S2103,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1865.29045,2157.02398,True
EVAL-L1-S2103,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1865.29045,2157.02398,True
EVAL-L1-S2103,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1865.29045,2157.02398,True
EVAL-L1-S2103,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1865.29045,2157.02398,True
EVAL-L1-S2103,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1810.43855,2371.886485,True
EVAL-L1-S2103,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1810.43855,2371.886485,True
EVAL-L1-S2103,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1810.43855,2371.886485,True
EVAL-L1-S2103,L1,evaluation,v2_corrected,D,passed,0,0,0,0.0,0.0,0.0,0,1810.43855,2371.886485,True
EVAL-L1-S2104,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,1899.9684,2204.06237,True
EVAL-L1-S2104,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,1899.9684,2204.06237,True
EVAL-L1-S2104,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,1899.9684,2204.06237,True
EVAL-L1-S2104,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,1899.9684,2204.06237,True
EVAL-L1-S2104,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,1875.36845,2036.755905,True
EVAL-L1-S2104,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,1875.36845,2036.755905,True
EVAL-L1-S2104,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,1875.36845,2036.755905,True
EVAL-L1-S2104,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,1875.36845,2036.755905,True
EVAL-L1-S2104,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1878.0971,2485.53488,True
EVAL-L1-S2104,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1878.0971,2485.53488,True
EVAL-L1-S2104,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1878.0971,2485.53488,True
EVAL-L1-S2104,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1878.0971,2485.53488,True
EVAL-L1-S2104,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1891.25955,2272.792205,True
EVAL-L1-S2104,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1891.25955,2272.792205,True
EVAL-L1-S2104,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1891.25955,2272.792205,True
EVAL-L1-S2104,L1,evaluation,v2_corrected,D,passed,0,0,0,0.0,0.0,0.0,0,1891.25955,2272.792205,True
EVAL-L1-S2105,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,1839.44915,2091.329595,True
EVAL-L1-S2105,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,1839.44915,2091.329595,True
EVAL-L1-S2105,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,1839.44915,2091.329595,True
EVAL-L1-S2105,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,1839.44915,2091.329595,True
EVAL-L1-S2105,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,1809.85595,1885.304845,True
EVAL-L1-S2105,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,1809.85595,1885.304845,True
EVAL-L1-S2105,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,1809.85595,1885.304845,True
EVAL-L1-S2105,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,1809.85595,1885.304845,True
EVAL-L1-S2105,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1779.8838,2098.33726,True
EVAL-L1-S2105,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1779.8838,2098.33726,True
EVAL-L1-S2105,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1779.8838,2098.33726,True
EVAL-L1-S2105,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1779.8838,2098.33726,True
EVAL-L1-S2105,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1876.76715,2519.031405,True
EVAL-L1-S2105,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1876.76715,2519.031405,True
EVAL-L1-S2105,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1876.76715,2519.031405,True
EVAL-L1-S2105,L1,evaluation,v2_corrected,D,passed,0,0,0,0.0,0.0,0.0,0,1876.76715,2519.031405,True
EVAL-L1-S2106,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,1919.01315,2123.52536,True
EVAL-L1-S2106,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,1919.01315,2123.52536,True
EVAL-L1-S2106,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,1919.01315,2123.52536,True
EVAL-L1-S2106,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,1919.01315,2123.52536,True
EVAL-L1-S2106,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,1898.76825,2167.30809,True
EVAL-L1-S2106,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,1898.76825,2167.30809,True
EVAL-L1-S2106,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,1898.76825,2167.30809,True
EVAL-L1-S2106,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,1898.76825,2167.30809,True
EVAL-L1-S2106,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1912.7977,2068.50603,True
EVAL-L1-S2106,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1912.7977,2068.50603,True
EVAL-L1-S2106,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1912.7977,2068.50603,True
EVAL-L1-S2106,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1912.7977,2068.50603,True
EVAL-L1-S2106,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1855.1827,1941.50012,True
EVAL-L1-S2106,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1855.1827,1941.50012,True
EVAL-L1-S2106,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1855.1827,1941.50012,True
EVAL-L1-S2106,L1,evaluation,v2_corrected,D,passed,0,0,0,0.0,0.0,0.0,0,1855.1827,1941.50012,True
EVAL-L1-S2107,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,1924.4001,2111.366315,True
EVAL-L1-S2107,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,1924.4001,2111.366315,True
EVAL-L1-S2107,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,1924.4001,2111.366315,True
EVAL-L1-S2107,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,1924.4001,2111.366315,True
EVAL-L1-S2107,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,1915.44,2101.03167,True
EVAL-L1-S2107,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,1915.44,2101.03167,True
EVAL-L1-S2107,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,1915.44,2101.03167,True
EVAL-L1-S2107,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,1915.44,2101.03167,True
EVAL-L1-S2107,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1856.33855,2054.624905,True
EVAL-L1-S2107,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1856.33855,2054.624905,True
EVAL-L1-S2107,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1856.33855,2054.624905,True
EVAL-L1-S2107,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1856.33855,2054.624905,True
EVAL-L1-S2107,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1780.08245,2188.32304,True
EVAL-L1-S2107,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1780.08245,2188.32304,True
EVAL-L1-S2107,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1780.08245,2188.32304,True
EVAL-L1-S2107,L1,evaluation,v2_corrected,D,passed,0,0,0,0.0,0.0,0.0,0,1780.08245,2188.32304,True
EVAL-L1-S2108,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,1861.6159,2124.691375,True
EVAL-L1-S2108,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,1861.6159,2124.691375,True
EVAL-L1-S2108,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,1861.6159,2124.691375,True
EVAL-L1-S2108,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,1861.6159,2124.691375,True
EVAL-L1-S2108,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,1909.4805,2304.535335,True
EVAL-L1-S2108,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,1909.4805,2304.535335,True
EVAL-L1-S2108,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,1909.4805,2304.535335,True
EVAL-L1-S2108,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,1909.4805,2304.535335,True
EVAL-L1-S2108,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1675.56235,1867.87109,True
EVAL-L1-S2108,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1675.56235,1867.87109,True
EVAL-L1-S2108,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1675.56235,1867.87109,True
EVAL-L1-S2108,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1675.56235,1867.87109,True
EVAL-L1-S2108,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1798.41555,2080.14222,True
EVAL-L1-S2108,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1798.41555,2080.14222,True
EVAL-L1-S2108,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1798.41555,2080.14222,True
EVAL-L1-S2108,L1,evaluation,v2_corrected,D,passed,0,0,0,0.0,0.0,0.0,0,1798.41555,2080.14222,True
EVAL-L1-S2109,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,1717.01015,1962.7869,True
EVAL-L1-S2109,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,1717.01015,1962.7869,True
EVAL-L1-S2109,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,1717.01015,1962.7869,True
EVAL-L1-S2109,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,1717.01015,1962.7869,True
EVAL-L1-S2109,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,1689.01065,2009.268795,True
EVAL-L1-S2109,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,1689.01065,2009.268795,True
EVAL-L1-S2109,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,1689.01065,2009.268795,True
EVAL-L1-S2109,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,1689.01065,2009.268795,True
EVAL-L1-S2109,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1786.7588,2118.852465,True
EVAL-L1-S2109,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1786.7588,2118.852465,True
EVAL-L1-S2109,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1786.7588,2118.852465,True
EVAL-L1-S2109,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1786.7588,2118.852465,True
EVAL-L1-S2109,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1879.0172,2085.41038,True
EVAL-L1-S2109,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1879.0172,2085.41038,True
EVAL-L1-S2109,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1879.0172,2085.41038,True
EVAL-L1-S2109,L1,evaluation,v2_corrected,D,passed,0,0,0,0.0,0.0,0.0,0,1879.0172,2085.41038,True
EVAL-L1-S2110,L1,evaluation,v0_clean,A,passed,0,0,0,0.0,0.0,0.0,0,1744.2283,1822.831725,True
EVAL-L1-S2110,L1,evaluation,v0_clean,B,passed,0,0,0,0.0,0.0,0.0,0,1744.2283,1822.831725,True
EVAL-L1-S2110,L1,evaluation,v0_clean,C,passed,0,0,0,0.0,0.0,0.0,0,1744.2283,1822.831725,True
EVAL-L1-S2110,L1,evaluation,v0_clean,D,passed,0,0,0,0.0,0.0,0.0,0,1744.2283,1822.831725,True
EVAL-L1-S2110,L1,evaluation,v1_authorized,A,passed,0,0,0,0.0,0.0,0.0,0,1714.93745,2037.41027,True
EVAL-L1-S2110,L1,evaluation,v1_authorized,B,passed,0,0,0,0.0,0.0,0.0,0,1714.93745,2037.41027,True
EVAL-L1-S2110,L1,evaluation,v1_authorized,C,passed,0,0,0,0.0,0.0,0.0,0,1714.93745,2037.41027,True
EVAL-L1-S2110,L1,evaluation,v1_authorized,D,passed,0,0,0,0.0,0.0,0.0,0,1714.93745,2037.41027,True
EVAL-L1-S2110,L1,evaluation,v1_faulty,A,failed_verification,5,0,6,1.0,0.454545455,0.625,0,1761.9994,2145.80805,True
EVAL-L1-S2110,L1,evaluation,v1_faulty,B,failed_verification,7,0,4,1.0,0.636363636,0.777777778,0,1761.9994,2145.80805,True
EVAL-L1-S2110,L1,evaluation,v1_faulty,C,failed_verification,9,0,2,1.0,0.818181818,0.9,0,1761.9994,2145.80805,True
EVAL-L1-S2110,L1,evaluation,v1_faulty,D,failed_verification,11,0,0,1.0,1.0,1.0,0,1761.9994,2145.80805,True
EVAL-L1-S2110,L1,evaluation,v2_corrected,A,passed,0,0,0,0.0,0.0,0.0,0,1723.44435,2008.05739,True
EVAL-L1-S2110,L1,evaluation,v2_corrected,B,passed,0,0,0,0.0,0.0,0.0,0,1723.44435,2008.05739,True
EVAL-L1-S2110,L1,evaluation,v2_corrected,C,passed,0,0,0,0.0,0.0,0.0,0,1723.44435,2008.05739,True
